prompt_id,prompt_text,domain,source,length_type,difficulty
9cea4a5c-2aa4-4749-a6c6-b4fadb95f8e3,In which year did the Industrial Revolution occur?,Factual QA,synthetic,short,hard
5fcd3594-7e6f-4ec7-98b3-95380c21a2df,Name one major industrial use of aluminum.,Factual QA,synthetic,short,easy
8dea201b-747d-4f0a-ac75-5fccca89a412,List two defining characteristics of the planet Mars.,Factual QA,synthetic,short,medium
92fe4db2-6464-4985-9ba7-b900d4c06f5f,What is the capital of Portugal?,Factual QA,synthetic,short,hard
da1687b2-5ee1-4b1e-a046-bb7f3b0e04c4,Who discovered germ theory?,Factual QA,synthetic,short,easy
695ebd6e-a693-406a-8497-5e38b6b47e8e,In which year did the French Revolution occur?,Factual QA,synthetic,short,medium
561f79f4-dbff-4c86-b650-6a0f2608f494,Name one major industrial use of boron.,Factual QA,synthetic,short,hard
91d8f231-4923-4cbd-a536-a6810e45c0eb,List two defining characteristics of the planet Mercury.,Factual QA,synthetic,short,easy
48bddad5-61e1-4335-8220-5b68a60ea019,What is the capital of Iceland?,Factual QA,synthetic,short,medium
205ed37a-db0d-47ec-83c6-4630b88a6513,Who discovered electricity?,Factual QA,synthetic,short,hard
68610433-ada8-4b46-b850-9ef7a22250ff,In which year did the discovery of America occur?,Factual QA,synthetic,short,easy
499654a2-8b02-4551-a60b-1dc20252fb76,Name one major industrial use of lithium.,Factual QA,synthetic,short,medium
f91aa83f-f7b8-4276-8133-4b5698f95e3b,List two defining characteristics of the planet Saturn.,Factual QA,synthetic,short,hard
87711e7f-4979-4498-b3be-8b9c16dd682b,What is the capital of Lebanon?,Factual QA,synthetic,short,easy
6fb2edd4-6cb4-49d8-833c-89e0ce8f3865,Who discovered the Higgs boson?,Factual QA,synthetic,short,medium
87df354d-117c-44e0-9041-46448596ee7d,In which year did the moon landing occur?,Factual QA,synthetic,short,hard
b7dc89a1-1b3e-4843-9c08-8363fd026f4a,Name one major industrial use of cobalt.,Factual QA,synthetic,short,easy
e807e217-c9ef-4759-882f-9a9e03eceb3b,List two defining characteristics of the planet Earth.,Factual QA,synthetic,short,medium
7ec5e9cb-43fe-46cb-998f-d271bedbabb0,What is the capital of Oman?,Factual QA,synthetic,short,hard
08ba1fc2-428d-4187-8846-0615307c997d,Who discovered penicillin?,Factual QA,synthetic,short,easy
4e12ca24-774c-459f-9893-2d90d95877f3,In which year did the invention of the printing press occur?,Factual QA,synthetic,short,medium
ece1e13d-db1d-496f-9e1f-662b1177e801,Name one major industrial use of sulfur.,Factual QA,synthetic,short,hard
69fc2fd5-4024-4b87-acc5-2bb68cc50d39,List two defining characteristics of the planet Neptune.,Factual QA,synthetic,short,easy
08b6a3db-6b6e-40a7-9bfb-84f23c5c4b2b,What is the capital of Sri Lanka?,Factual QA,synthetic,short,medium
08bfb7cb-d7b1-466d-9111-402f02f37e40,Who discovered electrons?,Factual QA,synthetic,short,hard
51425fa6-6ed7-42af-988c-06d3aa73d6f7,In which year did the Russian Revolution occur?,Factual QA,synthetic,short,easy
4ca8f301-5ef6-4694-a53e-85cccb82225b,Name one major industrial use of titanium.,Factual QA,synthetic,short,medium
e80ffc08-c60b-496e-95e6-0bab8de98ec4,List two defining characteristics of the planet Jupiter. Use 2 bullet points for clarity.,Factual QA,synthetic,short,hard
1181ee1b-43e9-464c-ac72-49a7ec6cb42e,What is the capital of Philippines?,Factual QA,synthetic,short,easy
44f1979e-467b-4bb9-b4ac-726852cf0f02,Who discovered heliocentrism?,Factual QA,synthetic,short,medium
74055f23-4c5d-48be-a038-b5c9e21b97b4,In which year did the fall of the Berlin Wall occur?,Factual QA,synthetic,short,hard
8f4dc7ff-7c00-4c40-bdbf-2f4ab96764e5,Name one major industrial use of argon.,Factual QA,synthetic,short,easy
a18df34f-040e-4d13-9b09-b660f3300d78,List two defining characteristics of the planet Venus. Include one example related to Cairo.,Factual QA,synthetic,short,medium
c613ecca-3a10-41f8-b25d-8146c1186270,What is the capital of China?,Factual QA,synthetic,short,hard
fd4175d7-a70a-4bc1-ace4-c22d51a0b199,Who discovered x-rays?,Factual QA,synthetic,short,easy
91a60d81-af18-4360-b0ee-55fd9ccee0f5,In which year did the unification of Germany occur?,Factual QA,synthetic,short,medium
dbd2d3ab-98e6-4652-84b4-e5ae6b239794,Name one major industrial use of silicon.,Factual QA,synthetic,short,hard
31dcb325-d087-4ffb-a894-e33e7e202950,List two defining characteristics of the planet Uranus. Respond in exactly 7 sentences.,Factual QA,synthetic,short,easy
11725d4c-9c91-496c-b9e6-e8e805066470,What is the capital of Turkmenistan?,Factual QA,synthetic,short,medium
a484b3dc-2964-4c92-8ed7-a082dd071e63,Who discovered insulin?,Factual QA,synthetic,short,hard
a0af8c4b-83bf-49bc-95d6-8685b84744c4,In which year did the Apollo 11 landing occur? Respond in exactly 5 sentences.,Factual QA,synthetic,short,easy
5a3f33b6-7186-4a29-8f85-22b048ea60c3,Name one major industrial use of nickel.,Factual QA,synthetic,short,medium
aa123bfb-633b-46e8-b1d9-cf0ff6d58d76,List two defining characteristics of the planet Mars. Use 5 bullet points for clarity.,Factual QA,synthetic,short,hard
a63f38a1-8db4-41e9-92d0-9d7222407407,What is the capital of Georgia?,Factual QA,synthetic,short,easy
af72a5b5-7674-4cf4-aadd-b82939ff29f6,Who discovered radioactivity? Include one example related to Dublin.,Factual QA,synthetic,short,medium
766c2fb2-9ff6-4623-952a-a588b0f0bcfc,In which year did the Reformation occur? Use 4 bullet points for clarity.,Factual QA,synthetic,short,hard
38edd11c-336c-405b-afd3-845cb4fe9b8a,Name one major industrial use of phosphorus.,Factual QA,synthetic,short,easy
07e3e84d-e24f-44bd-aa8f-5455df1e5669,List two defining characteristics of the planet Mercury. Include one example related to Florence.,Factual QA,synthetic,short,medium
4c2503b2-9097-41cc-93af-5e7187c1eb7f,What is the capital of Estonia?,Factual QA,synthetic,short,hard
1818de76-f476-4899-8e59-729c94987f8a,Who discovered neutrons? Respond in exactly 4 sentences.,Factual QA,synthetic,short,easy
1c7e16bb-825f-4203-bc57-c72e5022cd81,In which year did the Meiji Restoration occur? Include one example related to Geneva.,Factual QA,synthetic,short,medium
20c7b23e-778e-49e7-859c-137d3d4bbb62,Name one major industrial use of carbon. Use 2 bullet points for clarity.,Factual QA,synthetic,short,hard
efdf0477-6f2f-4fdb-92b9-5f68d0cccd60,List two defining characteristics of the planet Saturn. Respond in exactly 7 sentences.,Factual QA,synthetic,short,easy
54fc45ff-3712-419e-975a-0d6f0369c1d9,What is the capital of Luxembourg?,Factual QA,synthetic,short,medium
a0139a1d-5728-4b8f-b570-54109b154b05,Who discovered vaccination? Use 5 bullet points for clarity.,Factual QA,synthetic,short,hard
19776ff1-9790-4183-8f59-edc5ff596c4f,In which year did the Industrial Revolution occur? Respond in exactly 5 sentences.,Factual QA,synthetic,short,easy
8a341212-c2c1-46aa-b20d-dd8da72b8724,Name one major industrial use of neon. Include one example related to Athens.,Factual QA,synthetic,short,medium
c3ea49df-9b43-4d47-b7ac-4b495d84c665,List two defining characteristics of the planet Earth. Use 4 bullet points for clarity.,Factual QA,synthetic,short,hard
8147ece9-3220-47ee-90b5-5fa86c70dd87,What is the capital of Slovakia?,Factual QA,synthetic,short,easy
15c970e7-dd85-4ae5-935e-775c1d958abe,Who discovered the structure of DNA? Include one example related to Boston.,Factual QA,synthetic,short,medium
0ef28612-d2c8-46f7-868a-ddd573f58e46,In which year did the French Revolution occur? Use 3 bullet points for clarity.,Factual QA,synthetic,short,hard
f3fbfe97-95a6-4be2-98f7-5f184c7d8552,Name one major industrial use of copper. Respond in exactly 6 sentences.,Factual QA,synthetic,short,easy
132a94d7-35c0-4271-9265-eafd78ab177e,List two defining characteristics of the planet Neptune. Include one example related to Lima.,Factual QA,synthetic,short,medium
6c56f246-9b79-4ac2-85eb-682b63313039,What is the capital of Croatia?,Factual QA,synthetic,short,hard
d53b9809-4ea9-4740-a713-74232f21746c,Who discovered germ theory? Respond in exactly 4 sentences.,Factual QA,synthetic,short,easy
72c8fb7b-baf8-48df-a66b-ec44a7b78c2d,In which year did the discovery of America occur? Include one example related to Madrid.,Factual QA,synthetic,short,medium
f6442e23-4cc5-4487-b9df-388365d0a190,Name one major industrial use of aluminum. Use 5 bullet points for clarity.,Factual QA,synthetic,short,hard
d484ecd8-3820-4ffe-99df-6a6451be23e7,List two defining characteristics of the planet Jupiter. Respond in exactly 7 sentences.,Factual QA,synthetic,short,easy
3a336c81-3c23-4627-8e99-cc92a9a1aa6f,What is the capital of Ireland?,Factual QA,synthetic,short,medium
d6c1d01d-fc57-4d65-b93b-a831f64a355e,Who discovered electricity? Use 4 bullet points for clarity.,Factual QA,synthetic,short,hard
cd89aca1-b39c-4207-b0d3-6e98cab1172f,In which year did the moon landing occur? Respond in exactly 5 sentences.,Factual QA,synthetic,short,easy
a2746fb1-1b27-4789-b2f9-7fc74a1b8801,Name one major industrial use of boron. Include one example related to Lagos.,Factual QA,synthetic,short,medium
69fbd001-e908-41a2-b0db-3e21f3235661,List two defining characteristics of the planet Venus. Use 3 bullet points for clarity.,Factual QA,synthetic,short,hard
19b3e913-2fa7-4685-bc0a-aed087cf2fdb,What is the capital of Spain? Respond in exactly 3 sentences.,Factual QA,synthetic,short,easy
2794646e-da31-4d81-abc7-1acca42a1083,Who discovered the Higgs boson? Include one example related to Sydney.,Factual QA,synthetic,short,medium
349e03f7-cba1-41ee-8ace-d7a2c0b1e4bb,In which year did the invention of the printing press occur? Use 2 bullet points for clarity.,Factual QA,synthetic,short,hard
d68f51d4-9794-4030-a404-e1c3980526fd,Name one major industrial use of lithium. Respond in exactly 6 sentences.,Factual QA,synthetic,short,easy
83d5f2cb-8496-468e-8ae5-0200688f01f6,List two defining characteristics of the planet Uranus. Include one example related to Stockholm.,Factual QA,synthetic,short,medium
a4344536-5d04-4ac3-ab4b-68294b8830a8,What is the capital of Algeria?,Factual QA,synthetic,short,hard
40fca931-6147-46b7-9b91-2b2483ab067f,Who discovered penicillin? Respond in exactly 4 sentences.,Factual QA,synthetic,short,easy
cacb48c9-6206-4216-8934-8b1774455e00,In which year did the Russian Revolution occur? Include one example related to Montreal.,Factual QA,synthetic,short,medium
5af46a13-39f9-4930-981f-c88192935de1,Name one major industrial use of cobalt. Use 4 bullet points for clarity.,Factual QA,synthetic,short,hard
517b16b7-050f-4c57-9eca-8c1419f85527,List two defining characteristics of the planet Mars. Respond in exactly 7 sentences.,Factual QA,synthetic,short,easy
5afc95b4-0af8-4644-b72b-307c20851685,What is the capital of Tanzania?,Factual QA,synthetic,short,medium
32e97671-58a2-4ea8-a015-58e47dcd1193,Who discovered electrons? Use 3 bullet points for clarity.,Factual QA,synthetic,short,hard
f6919c38-84a6-458a-83fa-050a8085f9fc,In which year did the fall of the Berlin Wall occur? Respond in exactly 5 sentences.,Factual QA,synthetic,short,easy
86946aa0-2e68-4c20-b791-b890dedbd0b3,Name one major industrial use of sulfur. Include one example related to Venice.,Factual QA,synthetic,short,medium
e3289e4a-0e22-4415-9527-e82843560b7d,List two defining characteristics of the planet Mercury. Use 2 bullet points for clarity.,Factual QA,synthetic,short,hard
b84a90a1-7d59-4617-8927-d63d6da7ea1e,What is the capital of Zambia?,Factual QA,synthetic,short,easy
42e987dd-2009-4b6b-a82b-73bf228f8719,Who discovered heliocentrism? Include one example related to Vienna.,Factual QA,synthetic,short,medium
9a32d74a-a0ef-4e6d-97a7-beb00078af3c,In which year did the unification of Germany occur? Use 5 bullet points for clarity.,Factual QA,synthetic,short,hard
26e3b29f-f6d9-46ce-986d-3507e98da522,Name one major industrial use of titanium. Respond in exactly 6 sentences.,Factual QA,synthetic,short,easy
7d6611d7-e537-4fd1-a3a0-45728bc0cae3,List two defining characteristics of the planet Saturn. Include one example related to Warsaw.,Factual QA,synthetic,short,medium
97e45e77-1c8d-49e2-85d6-996fcbf775b1,What is the capital of Angola?,Factual QA,synthetic,short,hard
f2649342-a0ff-4d8d-8add-8edde8c29218,Who discovered x-rays? Respond in exactly 4 sentences.,Factual QA,synthetic,short,easy
ecfb21b9-d0e5-4923-aed9-b126dee21d2a,In which year did the Apollo 11 landing occur? Include one example related to Thessaloniki.,Factual QA,synthetic,short,medium
1be78282-82d2-476c-8381-b27e4faed88e,Name one major industrial use of argon. Use 3 bullet points for clarity.,Factual QA,synthetic,short,hard
82021e2d-53d3-4d0e-8f0b-efb78bc06fea,List two defining characteristics of the planet Earth. Respond in exactly 7 sentences.,Factual QA,synthetic,short,easy
64055364-5e53-46a3-8e7b-91b5ecf0ceb7,What is the capital of Central African Republic?,Factual QA,synthetic,short,medium
4981e924-43a9-43c9-bb5c-e17ccb32e0ed,Who discovered insulin? Use 2 bullet points for clarity.,Factual QA,synthetic,short,hard
3dac95f4-58db-4ec2-84f2-ae409f586c87,In which year did the Reformation occur? Respond in exactly 5 sentences.,Factual QA,synthetic,short,easy
5b5a60b5-8371-42eb-a309-f75cd08d707c,Name one major industrial use of silicon. Include one example related to Nairobi.,Factual QA,synthetic,short,medium
5690da74-3768-4748-b31c-fb95218da817,List two defining characteristics of the planet Neptune. Use 5 bullet points for clarity.,Factual QA,synthetic,short,hard
23615cd3-ebc9-4ea8-9543-1af61c2994c7,What is the capital of Afghanistan?,Factual QA,synthetic,short,easy
8a19dc1f-47f2-4378-80d2-dd63fb26070e,Who discovered radioactivity? Include one example related to Toronto.,Factual QA,synthetic,short,medium
b8d72efc-0913-4e41-bb8e-6730e7f941cb,In which year did the Meiji Restoration occur? Use 4 bullet points for clarity.,Factual QA,synthetic,short,hard
fd3d2274-af3b-41a0-9a42-9f4412e44ff8,Name one major industrial use of nickel. Respond in exactly 6 sentences.,Factual QA,synthetic,short,easy
69a7cb8e-c766-4715-b0e6-55801e62cb36,List two defining characteristics of the planet Jupiter. Include one example related to Istanbul.,Factual QA,synthetic,short,medium
72c24334-6007-444b-a545-91c2b1db817e,What is the capital of Ghana?,Factual QA,synthetic,short,hard
67331e26-ee47-448c-9bb7-bf982c432343,Who discovered neutrons? Respond in exactly 4 sentences. Respond in exactly 3 sentences.,Factual QA,synthetic,short,easy
4dcfb0f4-ad50-4d6e-9c85-609789492591,In which year did the Industrial Revolution occur? Include one example related to Mumbai.,Factual QA,synthetic,short,medium
6049f27b-66df-429d-a593-15366918a914,Name one major industrial use of phosphorus. Use 2 bullet points for clarity.,Factual QA,synthetic,short,hard
82508e74-84ec-4457-bffc-c74f091947f8,List two defining characteristics of the planet Venus. Respond in exactly 7 sentences.,Factual QA,synthetic,short,easy
65186236-2d70-4912-b366-817b58febbc0,What is the capital of Morocco?,Factual QA,synthetic,short,medium
a4751d2d-aa07-4322-9dc2-e066e2423e28,Who discovered vaccination? Use 5 bullet points for clarity. Respond in exactly 8 sentences.,Factual QA,synthetic,short,hard
084ab8ba-b2de-43ed-9a97-2d243c5d5da2,In which year did the French Revolution occur? Respond in exactly 5 sentences.,Factual QA,synthetic,short,easy
1372bad7-b78c-4f97-aee6-9d9bff14333b,Name one major industrial use of carbon. Include one example related to Helsinki.,Factual QA,synthetic,short,medium
f3c1871b-6e92-4eec-8286-639de688dd93,List two defining characteristics of the planet Uranus. Use 4 bullet points for clarity.,Factual QA,synthetic,short,hard
24ae0383-4607-4606-8aba-a6382bb94a73,What is the capital of Argentina?,Factual QA,synthetic,short,easy
20c5b205-cad4-4bcb-91ea-74e404d30af7,Who discovered the structure of DNA? Include one example related to Edinburgh.,Factual QA,synthetic,short,medium
3b28d341-37c5-4770-b6c2-23eee501d25d,In which year did the discovery of America occur? Use 3 bullet points for clarity.,Factual QA,synthetic,short,hard
578d52a3-6ac3-4ae5-ac83-86da978f7c4e,Name one major industrial use of neon. Respond in exactly 6 sentences.,Factual QA,synthetic,short,easy
3d6ab571-be1e-4d2d-b6e1-50a064dfc382,List two defining characteristics of the planet Mars. Include one example related to Rome.,Factual QA,synthetic,short,medium
52121af3-99c9-4668-8239-1b30538cc9c5,What is the capital of Egypt?,Factual QA,synthetic,short,hard
8b4a1654-5256-49b2-947e-8f0fc26acf4a,Who discovered germ theory? Respond in exactly 4 sentences. Respond in exactly 4 sentences.,Factual QA,synthetic,short,easy
1dbb3412-90b6-4962-a6b8-fc582fc1d1a1,In which year did the moon landing occur? Include one example related to Zurich.,Factual QA,synthetic,short,medium
18b154c4-2a6a-4ef2-b9d6-27196db51518,Name one major industrial use of copper. Use 5 bullet points for clarity.,Factual QA,synthetic,short,hard
70ffc3f1-23bc-4783-a475-5d1091b0e65f,List two defining characteristics of the planet Mercury. Respond in exactly 7 sentences.,Factual QA,synthetic,short,easy
9ef59858-49ba-4c6a-b68f-f1d8ece9cabb,What is the capital of Ethiopia?,Factual QA,synthetic,short,medium
95811d4a-0149-4d0c-bd4a-9c4bdd5de999,Who discovered electricity? Use 4 bullet points for clarity. Respond in exactly 9 sentences.,Factual QA,synthetic,short,hard
ff69d1bc-fbb7-4811-83a5-a954aae6990a,In which year did the invention of the printing press occur? Respond in exactly 5 sentences.,Factual QA,synthetic,short,easy
3244a4a7-bf30-4c86-8992-af6dc623c2c6,Name one major industrial use of aluminum. Include one example related to Kraków.,Factual QA,synthetic,short,medium
ffa79537-e723-48f3-8526-ba0b9a93356b,List two defining characteristics of the planet Saturn. Use 3 bullet points for clarity.,Factual QA,synthetic,short,hard
7dca424b-41b2-4226-ab93-a7b74ac1dcb3,What is the capital of Iraq?,Factual QA,synthetic,short,easy
0520202f-435f-4004-9a81-eccc903629b8,Who discovered the Higgs boson? Include one example related to Brussels.,Factual QA,synthetic,short,medium
f15fc072-88d9-41eb-b348-49de342725b3,In which year did the Russian Revolution occur? Use 2 bullet points for clarity.,Factual QA,synthetic,short,hard
62b6cd10-2a23-4fc4-a4d7-c3cbcbca5a60,Name one major industrial use of boron. Respond in exactly 6 sentences.,Factual QA,synthetic,short,easy
3a7cbdc3-35df-41a1-bb1b-438d110c93d7,List two defining characteristics of the planet Earth. Include one example related to Tokyo.,Factual QA,synthetic,short,medium
af06496d-eeff-4d56-acf9-6c421221f1b9,What is the capital of UAE?,Factual QA,synthetic,short,hard
5feac7d6-171f-449b-80f4-9a4af2eef035,Who discovered penicillin? Respond in exactly 4 sentences. Respond in exactly 5 sentences.,Factual QA,synthetic,short,easy
f68b00b1-31bb-4cc8-9dcf-edf391e6f4b0,In which year did the fall of the Berlin Wall occur? Include one example related to Berlin.,Factual QA,synthetic,short,medium
6838bf22-c513-44a7-968a-b4ec0340332d,Name one major industrial use of lithium. Use 4 bullet points for clarity.,Factual QA,synthetic,short,hard
ded8d388-d3ae-47ae-9ebb-76f4e8a4b68f,List two defining characteristics of the planet Neptune. Respond in exactly 7 sentences.,Factual QA,synthetic,short,easy
e63ca252-3ed1-4e8b-812e-3a337d0f0d78,What is the capital of Pakistan?,Factual QA,synthetic,short,medium
03ea95be-3ba7-4d4b-9597-771b5c8c043b,Who discovered electrons? Use 3 bullet points for clarity. Respond in exactly 3 sentences.,Factual QA,synthetic,short,hard
44ea5000-027c-46e2-b954-e8bd73a4f31e,In which year did the unification of Germany occur? Respond in exactly 5 sentences.,Factual QA,synthetic,short,easy
ecef5786-08b5-40bb-aed4-7dbd29dad8e8,Name one major industrial use of cobalt. Include one example related to Cairo.,Factual QA,synthetic,short,medium
6eb6c006-9b06-40e9-9e9e-31ace17523f4,List two defining characteristics of the planet Jupiter. Use 2 bullet points for clarity. Respond in exactly 6 sentences.,Factual QA,synthetic,short,hard
9eed33bc-fa67-495c-9d75-ff426289b5c7,What is the capital of Cambodia?,Factual QA,synthetic,short,easy
7b32a7bf-f85d-46a9-8325-de3798e75031,Who discovered heliocentrism? Include one example related to São Paulo.,Factual QA,synthetic,short,medium
31f6f966-1ff4-44ed-b399-12fa22fa09d9,"Explain how plate tectonics create mountain ranges and earthquakes, and give an example from Peru.",Factual QA,synthetic,medium,easy
fe7778a0-5f85-4e14-97a3-0b572e2df3ee,Summarize the differences between mitosis and meiosis using an analogy from chemistry.,Factual QA,synthetic,medium,medium
106aba7e-80bb-4f50-b3e8-b4a88a31e7f8,Describe how vaccination changed public health outcomes in the 20th century with one case study.,Factual QA,synthetic,medium,hard
9fa74245-d3cc-47df-912a-6c14e9fb5578,How did the radio accelerate the Renaissance? Provide two societal impacts.,Factual QA,synthetic,medium,easy
e93929b4-7c80-4ea3-ae48-e81e38cc7f40,Explain the basic idea of quantum entanglement to a high-school student.,Factual QA,synthetic,medium,medium
88defd00-0e74-4b5a-83be-823731ea19c8,"Explain how plate tectonics create mountain ranges and earthquakes, and give an example from Chile.",Factual QA,synthetic,medium,hard
261fb509-8bee-4f21-844f-b8d39f8d044b,Summarize the differences between mitosis and meiosis using an analogy from neuroscience.,Factual QA,synthetic,medium,easy
bf0a1c83-d182-40aa-a475-f529bb5b9e1e,Describe how vaccination changed public health outcomes in the 21st century with one case study.,Factual QA,synthetic,medium,medium
f99c6201-5e0e-460a-9055-34b30e0a6c31,How did the compass accelerate the Middle Ages? Provide two societal impacts.,Factual QA,synthetic,medium,hard
629eff38-9d65-4b5f-9dd5-01daa9bd24e4,Explain the basic idea of special relativity to a high-school student.,Factual QA,synthetic,medium,easy
7b7b6fa6-36fe-42d1-ba33-42b453f95cb0,"Explain how plate tectonics create mountain ranges and earthquakes, and give an example from Jordan.",Factual QA,synthetic,medium,medium
4f43b708-525c-47b9-9507-ea36dd9804ca,Summarize the differences between mitosis and meiosis using an analogy from psychology.,Factual QA,synthetic,medium,hard
2e86c044-1802-419d-8d96-9a61cf759177,Describe how vaccination changed public health outcomes in the 20th century with one case study. Use 5 bullet points for clarity.,Factual QA,synthetic,medium,easy
f5c463eb-6c95-4e72-93fa-4d9e1eba5b0d,How did the airplane accelerate the Classical era? Provide two societal impacts.,Factual QA,synthetic,medium,medium
4fe68d7a-c264-4097-b8a9-bed3533688db,Explain the basic idea of quantum entanglement to a high-school student. Include one example related to Geneva.,Factual QA,synthetic,medium,hard
616acd6b-aaed-4728-9367-40ff21d00da4,"Explain how plate tectonics create mountain ranges and earthquakes, and give an example from Spain.",Factual QA,synthetic,medium,easy
952dc16f-338b-4a4e-86a7-98317bcae60d,Summarize the differences between mitosis and meiosis using an analogy from astronomy.,Factual QA,synthetic,medium,medium
57391c6a-11fe-494c-989f-8cc5c967de1e,Describe how vaccination changed public health outcomes in the 21st century with one case study. Include one example related to Budapest.,Factual QA,synthetic,medium,hard
78f0f3ea-0613-404e-a5b1-780b98f36473,How did the steam engine accelerate the Bronze Age? Provide two societal impacts.,Factual QA,synthetic,medium,easy
d964b896-a8de-4922-989e-6cbe6d7cc4e1,Explain the basic idea of special relativity to a high-school student. Respond in exactly 4 sentences.,Factual QA,synthetic,medium,medium
713a79ae-c6fc-4665-b628-3da13b0715ce,"Explain how plate tectonics create mountain ranges and earthquakes, and give an example from Portugal.",Factual QA,synthetic,medium,hard
70932128-abf2-4382-ad10-368ff5a33a3c,Summarize the differences between mitosis and meiosis using an analogy from computer science.,Factual QA,synthetic,medium,easy
cb62e4e3-5521-44e1-969a-0e240d29a83f,Describe how vaccination changed public health outcomes in the 20th century with one case study. Respond in exactly 7 sentences.,Factual QA,synthetic,medium,medium
61d6ad02-4132-4e12-a5d3-2a3f65175d8d,How did the transistor accelerate the Information Age? Provide two societal impacts.,Factual QA,synthetic,medium,hard
57ca4384-065f-4454-812b-23489775636d,Explain the basic idea of quantum entanglement to a high-school student. Use 5 bullet points for clarity.,Factual QA,synthetic,medium,easy
559b5a27-32ee-4163-8d1d-5c0688f06df3,"Explain how plate tectonics create mountain ranges and earthquakes, and give an example from Iceland.",Factual QA,synthetic,medium,medium
20f26803-c41e-4ebf-b846-345b235bc144,Summarize the differences between mitosis and meiosis using an analogy from biology.,Factual QA,synthetic,medium,hard
2ce7c0d6-2c24-4a9b-b92f-d686a9b3d0a9,Describe how vaccination changed public health outcomes in the 21st century with one case study. Use 4 bullet points for clarity.,Factual QA,synthetic,medium,easy
918e94c2-8737-4cb1-8859-ce84b03ed0c8,How did the telephone accelerate the Industrial Revolution? Provide two societal impacts.,Factual QA,synthetic,medium,medium
8bd4da5e-f877-4ae4-826f-a29decbf3b2f,Explain the basic idea of special relativity to a high-school student. Include one example related to Madrid.,Factual QA,synthetic,medium,hard
f1636093-bcc6-4345-8d8a-8643edf215dd,"Explain how plate tectonics create mountain ranges and earthquakes, and give an example from Lebanon.",Factual QA,synthetic,medium,easy
49e1bc6b-43e3-4300-8d22-72304de2d58e,Summarize the differences between mitosis and meiosis using an analogy from ecology.,Factual QA,synthetic,medium,medium
022a91fe-8745-43cf-8649-3d16ef881c5e,Describe how vaccination changed public health outcomes in the 20th century with one case study. Include one example related to Hanoi.,Factual QA,synthetic,medium,hard
538998bf-5111-4766-b51c-ba35163cfd88,How did the World Wide Web accelerate the Renaissance? Provide two societal impacts.,Factual QA,synthetic,medium,easy
c2c073cd-e866-4c94-af98-6dd1aa44fcc1,Explain the basic idea of quantum entanglement to a high-school student. Respond in exactly 4 sentences.,Factual QA,synthetic,medium,medium
9326c38e-3599-4ee3-a63f-14bf84deda77,"Explain how plate tectonics create mountain ranges and earthquakes, and give an example from Oman.",Factual QA,synthetic,medium,hard
ab80467a-d1e6-4c53-ac3b-065064456024,Summarize the differences between mitosis and meiosis using an analogy from linguistics.,Factual QA,synthetic,medium,easy
1aa48b20-6976-40c7-97a8-416aa2cb1011,Describe how vaccination changed public health outcomes in the 21st century with one case study. Respond in exactly 7 sentences.,Factual QA,synthetic,medium,medium
1d4a6df3-1eaf-4a58-aabb-4bad63a02ab2,How did the light bulb accelerate the Middle Ages? Provide two societal impacts.,Factual QA,synthetic,medium,hard
85636652-bf62-4218-89a0-28b224a8f748,Explain the basic idea of special relativity to a high-school student. Use 4 bullet points for clarity.,Factual QA,synthetic,medium,easy
